DateTime,Open,High,Low,Close,Volume,Adj Close
20210722,3563.66,3576.47,3558.29,3574.73,381067054,3574.73
20210721,3543.05,3569.09,3543.05,3562.66,338978748,3562.66
20210720,3515.07,3538.64,3509.19,3536.79,293780594,3536.79
20210719,3530.49,3544.88,3506.34,3539.12,336760946,3539.12
20210716,3559.53,3566,3537.73,3539.3,366014779,3539.3
20210715,3519.06,3565.93,3514.26,3564.59,363259164,3564.59
20210714,3560.83,3560.83,3525.49,3528.5,372221722,3528.5
20210713,3547.59,3567.48,3542.82,3566.52,362416711,3566.52
20210712,3545.2,3565.03,3527.39,3547.84,403639558,3547.84
20210709,3512.23,3529.31,3485.05,3524.09,349884317,3524.09
20210708,3557.22,3558.68,3521.06,3525.5,350877857,3525.5
20210707,3508.59,3557.88,3504.47,3553.72,318839189,3553.72
20210706,3533.13,3538.35,3496.93,3530.26,314070211,3530.26
20210705,3516.92,3534.32,3510.58,3534.32,288094837,3534.32
20210702,3569.89,3569.89,3514.34,3518.76,291945548,3518.76
20210701,3600.55,3607.7,3573.94,3588.78,291883192,3588.78
20210630,3572.62,3594.12,3569.5,3591.2,268162818,3591.2
20210629,3601.68,3601.83,3570.53,3573.18,306071178,3573.18
20210628,3612.25,3614.36,3594.22,3606.37,321274974,3606.37
20210625,3567.38,3614.3,3564.52,3607.56,346087832,3607.56
20210624,3568.58,3570.49,3548.82,3566.65,335440754,3566.65
20210623,3559.4,3577.47,3549.85,3566.22,310709518,3566.22
20210622,3539.79,3560.19,3536.81,3557.41,307536399,3557.41
20210621,3515.5,3540.3,3504.01,3529.18,280898277,3529.18
20210618,3520.5,3535.62,3503.18,3525.1,296708585,3525.1
20210617,3508.32,3534.2,3507.35,3525.6,277229918,3525.6
20210616,3556.71,3561.09,3513.56,3518.33,312597306,3518.33
20210615,3587.47,3592.95,3547.19,3556.56,349168566,3556.56
20210611,3614.11,3614.4,3587.15,3589.75,360554970,3589.75
20210610,3587.53,3624.34,3584.13,3610.86,318174808,3610.86
20210609,3576.8,3598.71,3572.64,3591.4,298323296,3591.4
20210608,3598.75,3621.52,3563.25,3580.11,304491470,3580.11
20210607,3597.14,3600.38,3581.9,3599.54,303718677,3599.54
20210604,3565.47,3618.8,3561.89,3591.84,330893038,3591.84
20210603,3595.42,3618.51,3584.21,3584.21,354233031,3584.21
20210602,3626.33,3629.29,3584.6,3597.14,348558420,3597.14
20210601,3608.6,3626.07,3581.91,3624.71,352811413,3624.71
20210531,3600.07,3615.66,3580.65,3615.48,331523770,3615.48
20210528,3610.77,3622.18,3582.36,3600.78,349208830,3600.78
20210527,3585.73,3626.36,3579.26,3608.85,309551486,3608.85
20210526,3586.84,3603.49,3585.37,3593.36,341980288,3593.36
20210525,3502.54,3584.58,3502.44,3581.34,341241127,3581.34
20210524,3486.27,3498.3,3469.87,3497.28,289509242,3497.28
20210521,3510.84,3518.38,3479.67,3486.56,283826285,3486.56
20210520,3500.88,3517.74,3486.07,3506.94,326009333,3506.94
20210519,3521.11,3521.11,3503.82,3510.96,278321117,3510.96
20210518,3520.65,3529.01,3510.86,3529.01,271308558,3529.01
20210517,3490.41,3530.51,3490.14,3517.62,322135969,3517.62
20210514,3436.09,3490.64,3422.56,3490.38,336982309,3490.38
20210513,3432.14,3448.02,3418.38,3429.54,319325327,3429.54
20210512,3429.75,3466.37,3428.39,3462.75,311444547,3462.75
20210511,3406.6,3448.1,3384.7,3441.85,350934112,3441.85
20210510,3423.59,3429.74,3401.93,3427.99,374170884,3427.99
20210507,3446.41,3457.89,3416.78,3418.87,353785389,3418.87
20210506,3446.07,3471.24,3426.85,3441.28,310424192,3441.28
20210430,3468.3,3469.09,3426.9,3446.86,312660354,3446.86
20210429,3458.08,3478.23,3447.59,3474.9,276631387,3474.9
20210428,3432.16,3457.07,3423.32,3457.07,247381120,3457.07
20210427,3440.09,3443.85,3417.26,3442.61,253032393,3442.61
20210426,3484.11,3497.12,3438.57,3441.17,276970771,3441.17
20210423,3462.09,3482.36,3456.33,3474.17,249360433,3474.17
20210422,3482.83,3485.36,3456.32,3465.11,251114510,3465.11
20210421,3456.3,3481.25,3450.11,3472.93,253777859,3472.93
20210420,3467.15,3494.3,3463.46,3472.94,285300082,3472.94
20210419,3427.55,3479.01,3414.36,3477.55,302735819,3477.55
20210416,3407.19,3432.63,3394.13,3426.62,258579672,3426.62
20210415,3409.61,3409.61,3373.09,3398.99,234005054,3398.99
20210414,3397.02,3420.03,3392.98,3416.72,233242327,3416.72
20210413,3411.29,3425.39,3387.9,3396.47,270626054,3396.47
20210412,3445.97,3456.16,3403.9,3412.95,309577239,3412.95
20210409,3475.44,3475.45,3442.14,3450.68,280085196,3450.68
20210408,3467.49,3495.91,3459.32,3482.55,331755329,3482.55
20210407,3483.42,3483.42,3453.19,3479.63,295786978,3479.63
20210406,3491.63,3493.28,3471.76,3482.97,234746671,3482.97
20210402,3472.63,3487.59,3462.83,3484.39,262654873,3484.39
20210401,3444.81,3470.03,3438.83,3466.33,275244295,3466.33
20210331,3452.21,3452.21,3420.83,3441.91,283049261,3441.91
20210330,3432.53,3457.63,3423.32,3456.68,285423081,3456.68
20210329,3429.63,3449.83,3409.89,3435.3,284824243,3435.3
20210326,3373.32,3423.22,3373.32,3418.33,274614987,3418.33
20210325,3355.07,3382.23,3344.97,3363.59,270676097,3363.59
20210324,3394.13,3415.29,3362.18,3367.06,317398697,3367.06
20210323,3445.34,3445.42,3390.05,3411.51,326389409,3411.51
20210322,3406.12,3443.66,3404.23,3443.44,312559084,3443.44
20210319,3423.87,3439.52,3389.29,3404.66,309161716,3404.66
20210318,3449.64,3478.14,3449.38,3463.07,284403891,3463.07
20210317,3435.73,3454.06,3410.28,3445.55,280059818,3445.55
20210316,3424.65,3448.88,3406.17,3446.73,316668747,3446.73
20210315,3441.88,3457.49,3392.51,3419.95,367813293,3419.95
20210312,3447.2,3454.51,3417.24,3453.08,358027035,3453.08
20210311,3369.9,3436.83,3369.9,3436.83,322112044,3436.83
20210310,3389.84,3397.03,3354.82,3357.74,299749166,3357.74
20210309,3415.34,3429.15,3328.31,3359.29,407652539,3359.29
20210308,3524.98,3542.3,3421.22,3421.41,387047954,3421.41
20210305,3463.31,3523.57,3456.67,3501.99,356409223,3501.99
20210304,3546.64,3552.2,3487.38,3503.49,393616120,3503.49
20210303,3500.16,3577.62,3498.72,3576.9,347656846,3576.9
20210302,3566.85,3566.85,3485.36,3508.59,339830486,3508.59
20210301,3531.48,3552.57,3511.99,3551.4,315487526,3551.4
20210226,3514.56,3550.41,3500.7,3509.08,333280067,3509.08
20210225,3595.54,3608.56,3568.47,3585.05,366232299,3585.05
20210224,3638.94,3645.65,3531.59,3564.08,362158952,3564.08
20210223,3617.7,3672.15,3617.7,3636.36,398873174,3636.36
20210222,3707.19,3717.27,3642.44,3642.44,488821478,3642.44
20210219,3661.78,3699.65,3634.01,3696.17,361059804,3696.17
20210218,3721.09,3731.69,3663.66,3675.36,340309065,3675.36
20210210,3612.61,3662.77,3612.5,3655.09,257940824,3655.09
20210209,3539.77,3604.01,3528.68,3603.49,253821760,3603.49
20210208,3504.56,3542.21,3492.13,3532.45,249799619,3532.45
20210205,3509.49,3536.54,3492.96,3496.33,290146174,3496.33
20210204,3503.78,3524.72,3465.77,3501.86,298834854,3501.86
20210203,3531.15,3544.01,3508.51,3517.31,297351716,3517.31
20210202,3510.81,3535.5,3495.57,3533.68,264540630,3533.68
20210201,3477.17,3506.39,3469.88,3505.28,277567901,3505.28
